"id","first_name","last_name","email","password","salt","is_deleted","role","phone_number","dashboard_access","created_date_time","updated_date_time","created_by","updated_by","employee_id","verification_status","otp","otp_time_out","business_unit"
"2A3A674E-1FE0-11EE-BE56-0242AC120002",Admin,User,admin@gmail.com,$2b$10$7z80hpjzDpdZimveLShSFu8QVKJdxTGY.gXryQKfja0Mh9UMGwOEu,$2b$10$7z80hpjzDpdZimveLShSFu,0,le_spoc,,1,"2023-06-27 10:31:29.000 +0000","2023-07-01 10:38:44.000 +0000",,,"845345345",approved,,,
E2594816-C91C-4F00-98D9-088AC5453D9F,Jogesh,Suthar,jogesh@gmail.com,$2b$10$Yw92DnbT7Rgd2ASvzyr4fuUVwwmeHpe0g9tEE0Ow/h1jHLkIclkWG,$2b$10$Yw92DnbT7Rgd2ASvzyr4fu,0,le_spoc,,1,"2023-06-27 10:31:29.000 +0000","2023-07-01 10:38:44.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","845345345",approved,,,
"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",Jon,Doe,le.m@gmail.com,$2b$10$7z80hpjzDpdZimveLShSFu8QVKJdxTGY.gXryQKfja0Mh9UMGwOEu,$2b$10$7z80hpjzDpdZimveLShSFu,0,le_m,,1,,"2023-07-06 11:50:59.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU-78,approved,3181,"2023-06-22 07:19:19.000 +0000",
"03B47C36-208C-4527-929D-1576B5BF08E6",Jay,Purohit,jay.purohit@gmail.com,$2b$10$IcBpryee6.VQ2xvhjj49sOhnRuE9AvR1tM1ADuXlk2m0EeGn7iJbu,$2b$10$IcBpryee6.VQ2xvhjj49sO,0,abu_spoc,,1,"2023-06-21 07:26:56.000 +0000","2023-06-26 10:54:25.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","5465556",approved,,,
"7F31752D-57CB-449B-B4D1-174F9AF84449",Vikas,Soni,vikas@gmail.com,$2b$10$nbTgJrdipUFPRmBA5FR2cOUTIG6UejlJuIrmlpMe78L2bFeIaeqce,$2b$10$nbTgJrdipUFPRmBA5FR2cO,0,abu_spoc,,1,"2023-06-23 12:49:51.000 +0000","2023-06-27 09:19:49.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83","85834534",approved,5780,"2023-06-23 13:10:26.000 +0000",
"23206983-BB12-4E9F-9977-18D437554525",Yogesh,Kumar,yogesh.test@gmail.com,$2b$10$qORuSo8QCqxBBFQ0JJNyP.qtQvDisAV3DUwFIJZ.ZAfgBEqS0fzbq,$2b$10$qORuSo8QCqxBBFQ0JJNyP.,1,le_m,,0,"2023-06-26 11:00:45.000 +0000","2023-06-26 11:07:14.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU123,approved,,,
C8B49670-E2A0-4E59-BF84-3D4D171FB251,Jon,Doe,jon.ledh@gmail.com,$2b$10$KcT31XbRhGMcFH6RZzVAOO4bGaZChVoG3SW0Ypr.bT2IiRHO4.382,$2b$10$KcT31XbRhGMcFH6RZzVAOO,0,le_dh,,0,,"2023-06-23 05:06:03.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",AEL-GM-1234,approved,,,
"7871AB20-BE36-47C5-913D-4318D944CCFB",Yogesh,Kumar,sdsd@gmail.com,$2b$10$98u3hhXld8YGfIQfeuZb4.1y/IQhPedMnFyuKwcBppEiel3rdClV.,$2b$10$98u3hhXld8YGfIQfeuZb4.,1,,,0,"2023-07-17 11:02:52.000 +0000","2023-07-17 11:03:11.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU-78,pending,,,3
B8C74195-6B0E-4B14-9A5B-5139230996BB,Yogesh,Kumar,yogesh@gmail.com,$2b$10$K9qUVafHAYDYcoi50ko65.2mTry.d4Le8gx9HE7q/eZrXKw1lcJHa,$2b$10$K9qUVafHAYDYcoi50ko65.,1,,,0,"2023-06-22 13:42:27.000 +0000","2023-06-22 13:42:56.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU-78,pending,,,
D4CAB7C4-52B1-4ECB-9EFA-525BB9444839,Yogesh,Kumar,kum@gmail.com,$2b$10$XYU96oWdfumJ0aW9XkQ/y.fpEvZARQLLqSP/gxDHzZjMLv1HKhyVK,$2b$10$XYU96oWdfumJ0aW9XkQ/y.,0,le_dh,,0,"2023-07-26 12:16:11.000 +0000","2023-07-27 04:54:26.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","12",approved,,,1
